, Sales Org , European Customer , Sold to Customer , Ship To Country , Type , confi , size , Die Reference , Board Type , Board Item , WRK Filter , Grade , Certification , x , new Cal + width,Category,old Cal + width,Unchanged?,GSM,Caliper,new std width mm,std width mm,std width, Std Width Round (in) , optimum width , optimum width (in) , optimum std? ,repeat,NB ON, x ,producer 2019,Forecast Quantity board MT - OCT 2018,Forecast Quantity board MT - NOV 2018,Forecast Quantity board MT - DEC 2018,Forecast Quantity board MT - JAN 2019,Forecast Quantity board MT - FEB 2019,Forecast Quantity board MT - MAR 2019,Forecast Quantity board MT - APR 2019,Forecast Quantity board MT - MAY 2019,Forecast Quantity board MT - JUN 2019,Forecast Quantity board MT - JUL 2019,Forecast Quantity board MT - AUG 2019,Forecast Quantity board MT - SEP 2019,Forecast Quantity board MT - Q1 2019,Forecast Quantity board MT - Q2 2019,Forecast Quantity board MT - Q3 2019,Forecast Quantity board MT - Q4 2019,Forecast Quantity board MT - FY 2019,Average,Standarddeviation
369," WestRockPackaging Syst.ES,S.L. ", DANONE  Europe , DANONE  Europe , Spain , CP ,,, V051AGA-QR/R , 010 Custom Kote SFI , 010 , MCB , Custom , SFI ,,2900935,Std Sku,2900934,No,290,14,935,934,93.4,36.77,93.3,36.73,N,118.3,21,,Bilbao,0.231854,0.244953,0.223339,0.244953,0.232509,0.301279,0.283595,0.288835,0.265256,0.245608,0.239713,0.239058,0.700145,0.778740,0.837686,0.724379,3.040949,0.253412,0.025228
402," WestRockPackaging Syst.ES,S.L. ", La Española Alimentaria Alcoy EUR , LA ESPAÑOLA - PRINCIPAL , Spain , CP ,  1x2 , 200   , 2792BGA/R , 010 Custom Kote SFI , 010 , MCB , Custom , SFI ,,2900910,Fastrunner,2900908,No,290,14,910,908,90.8,35.75,88.8,34.96,N,127.6,28,,Bilbao,0.206033,0.218395,0.199165,0.218395,0.206720,0.268530,0.252047,0.256854,0.235564,0.219082,0.213587,0.212901,0.623593,0.693644,0.744466,0.645570,2.707273,0.225606,0.022378
403," WestRockPackaging Syst.ES,S.L. ", La Española Alimentaria Alcoy EUR , LA ESPAÑOLA - PRINCIPAL , Spain , CP ,  1x3 , 120   , 2782BGA/R , 010 Custom Kote SFI , 010 , MCB , Custom , SFI ,,2900977,Fastrunner,2900977,Yes,290,14,977,977,97.7,38.46,95.0,37.40,N,126.0,30,,Bilbao,8.083610,8.552807,7.795379,8.554996,8.104771,10.518617,9.884508,10.066933,9.243832,8.574698,8.360166,8.348491,24.431796,27.178384,29.195274,25.283355,106.088809,8.840734,0.878378
404," WestRockPackaging Syst.ES,S.L. ", La Española Alimentaria Alcoy EUR , LA ESPAÑOLA - PRINCIPAL , Spain , CP ,  1x3 , 350   , Q018CGA/R , 010 Custom Kote SFI , 010 , MCB , Custom , SFI ,,2900977,Fastrunner,2900977,Yes,290,14,977,977,97.7,38.46,97.5,38.39,N,116.2,15,,Bilbao,13.999275,14.812866,13.500623,14.816903,14.036287,18.217295,17.119721,17.434659,16.009362,14.851224,14.479085,14.458897,42.312764,47.070485,50.563743,43.789205,183.736197,15.311350,1.521377
405," WestRockPackaging Syst.ES,S.L. ", La Española Alimentaria Alcoy EUR , LA ESPAÑOLA - PRINCIPAL , Spain , CP ,  2x3 , 120   , S132EGA/R , 010 Custom Kote SFI , 010 , MCB , Custom , SFI ,,2900977,Fastrunner,2900977,Yes,290,14,977,977,97.7,38.46,97.4,38.35,N,110.4,18,,Bilbao,10.143378,10.732864,9.781503,10.735421,10.169591,13.199498,12.403500,12.632389,11.599191,10.760356,10.490548,10.475843,30.657744,34.104511,36.635080,31.726747,133.124082,11.093673,1.102362
406," WestRockPackaging Syst.ES,S.L. ", La Zaragozana EUR , LA ZARAGOZANA , Spain , CP ,  2x3 , 200   , T037ABA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500988,Yes,350,18,988,988,98.8,38.90,98.8,38.90,Y,121.2,12,,Bilbao,1.326110,1.403209,1.278993,1.403209,1.329536,1.725313,1.621657,1.651641,1.516288,1.406636,1.371513,1.369799,4.008312,4.458059,4.789586,4.147948,17.403905,1.450325,0.144055
407," WestRockPackaging Syst.ES,S.L. ", La Zaragozana EUR , LA ZARAGOZANA , Spain , CP ,  2x3 , 250   , X001ABA/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3501786,Fastrunner,3501786,Yes,350,18,1786,1786,178.6,70.31,86.9,34.21,N,126.8,6,,Bilbao,19.209872,20.326141,18.524557,20.331001,19.260096,24.996973,23.490253,23.922827,21.967332,20.377985,19.867644,19.840102,58.060569,64.588070,69.380412,60.085731,252.114782,21.009565,2.087419
474," WestRockPackaging Syst.ES,S.L. ", SCHREIBER GROUP , SCHREIBER FOODS PORTUGAL SA , Portugal , CC ,  2x2 , 180   , M085NBA-Q/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3501398,Std Sku,3501398,Yes,350,18,1398,1398,139.8,55.04,69.9,27.52,N,107.2,28,,Bilbao,28.142564,29.777575,27.139042,29.785080,28.216541,36.621035,34.413502,35.048208,32.182381,29.853697,29.106416,29.065675,85.059180,94.622656,101.644091,88.025787,369.351714,30.779310,3.058235
478," WestRockPackaging Syst.ES,S.L. ", SCHREIBER GROUP , SCHREIBER FOODS PORTUGAL SA , Portugal , CC ,  2x4 , 180   , M088KBA-Q/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3501660,Std Sku,3501660,Yes,350,18,1660,1660,166.0,65.35,78.8,31.02,N,107.2,16,,Bilbao,1.070651,1.133031,1.032459,1.133031,1.073197,1.394010,1.309988,1.334176,1.224692,1.135577,1.107570,1.106297,3.236140,3.600238,3.868855,3.349444,14.054677,1.171223,0.116672
511, MeadWestvaco Enterprises GmbH , FRATELLI POLLI SPA-EUR , FRATELLI POLLI - FATTURAZIONE , Italy , CP , 1x3 , 314   , MPC130341/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3201357,Std Sku,3201357,Yes,320,16,1357,1357,135.7,53.43,134.2,52.83,N,83.3,12,,Svitavy,0.241031,0.255079,0.232159,0.255079,0.241771,0.313488,0.294265,0.300180,0.275781,0.255818,0.249164,0.249164,0.728269,0.810338,0.870226,0.754147,3.162980,0.263582,0.026134
533, MeadWestvaco Enterprises GmbH , CAVIT CANTINA , CAVIT CANTINA VITICOLTORI SOC.COOP , Italy , CP ,  2x2 , 200   , MPC042164/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3501365,Fastrunner,3501320,No,350,18,1365,1320,132.0,51.97,132.0,51.97,Y,95.8,24,,Svitavy,0.294921,0.312110,0.284065,0.312110,0.295826,0.383578,0.360057,0.367294,0.337441,0.313015,0.304873,0.304873,0.891096,0.991514,1.064792,0.922760,3.870162,0.322514,0.031977
739, WestRock Czech , Scquadrant Amroq/Bucharest/RO - C3 , S.C. Quadrant Amroq Beverages SRL , Romania , CP , 2x2 , 250   , PL1506029/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500984,No,350,18,988,984,98.4,38.74,97.3,38.31,N,109.0,18,,Svitavy,0.250143,0.264722,0.240935,0.264722,0.250910,0.325339,0.305389,0.311528,0.286206,0.265489,0.258583,0.258583,0.755800,0.840971,0.903123,0.782656,3.282550,0.273546,0.027122
740, WestRock Czech , Scquadrant Amroq/Bucharest/RO - C3 , S.C. Quadrant Amroq Beverages SRL , Romania , CP , 2x3 , 250   , P1504052B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500984,No,350,18,988,984,98.4,38.74,97.3,38.31,N,109.0,12,,Svitavy,0.999037,1.057352,0.963741,1.057352,1.002106,1.299822,1.221557,1.244576,1.142524,1.059654,1.033566,1.032031,3.020130,3.359281,3.608656,3.125251,13.113318,1.092777,0.108473
758, WestRock Czech , Kamenitza MolsonCoors , Kamenitza MolsonCoors , Bulgaria , CP , 2x2 , 330   , PL1609290_B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101.0,39.76,97.2,38.27,N,68.2,8,,Svitavy,0.143153,0.151333,0.137894,0.151333,0.143153,0.185807,0.174705,0.177627,0.163604,0.151333,0.147828,0.147828,0.432381,0.480293,0.515936,0.446988,1.875598,0.156300,0.015432
759, WestRock Czech , Kamenitza MolsonCoors , Kamenitza MolsonCoors , Bulgaria , CP , 2x2 , 330   , P1708030B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101.0,39.76,98.2,38.66,N,133.7,16,,Svitavy,0.140892,0.148910,0.135165,0.148910,0.140892,0.182129,0.171820,0.174111,0.160365,0.148910,0.145474,0.145474,0.424967,0.471932,0.506295,0.439859,1.843053,0.153588,0.014994
760, WestRock Czech , Kamenitza MolsonCoors , Kamenitza MolsonCoors , Bulgaria , CP , 2x3 , 330   , P1708031A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101.0,39.76,98.2,38.66,N,133.7,16,,Svitavy,0.028637,0.029782,0.027491,0.029782,0.028637,0.036655,0.034364,0.035509,0.032073,0.029782,0.029782,0.029782,0.085910,0.095074,0.101946,0.089346,0.372276,0.031023,0.002949
778, WestRock Czech , Valio Eesti AG , Valio Eesti AG/Tallinn/EE , Estonia , CP ,,, PL1609295_A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200873,Std Sku,3200873,Yes,320,16,873,873,87.3,34.37,87.1,34.29,N,116.4,30,,Svitavy,0.432692,0.457949,0.417405,0.457949,0.434022,0.562965,0.529068,0.539037,0.495170,0.459279,0.447979,0.447315,1.308047,1.454936,1.563275,1.354573,5.680830,0.473403,0.046952
788, MeadWestvaco Enterprises GmbH , Münchener Hofbräu , Münchener Hofbräu , Germany , BM ,  2x3 , 355   , 4687C/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200964,Std Sku,3200964,Yes,320,16,964,964,96.4,37.95,96.4,37.95,Y,109.0,4,,Svitavy,4.202724,4.446709,4.052897,4.448083,4.213720,5.468696,5.139488,5.233646,4.806157,4.458393,4.346366,4.340867,12.702329,14.130499,15.179290,13.145626,55.157745,4.596479,0.456669
854, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania , CP ,,, PL1609306_A /R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4650960,Std Sku,4650960,Yes,465,25,960,960,96.0,37.80,94.5,37.20,N,106.5,10,,Svitavy,0.569446,0.602485,0.549039,0.602485,0.571389,0.741445,0.696745,0.709378,0.651073,0.604429,0.588881,0.587909,1.720970,1.915320,2.057195,1.781218,7.474703,0.622892,0.062012
855, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania , CP ,,, PL1609306_A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4650960,Std Sku,4650960,Yes,465,25,960,960,96.0,37.80,94.5,37.20,N,106.5,10,,Svitavy,3.605194,3.815092,3.476923,3.816063,3.614911,4.691610,4.408831,4.490458,4.123137,3.824809,3.728606,3.723747,10.897208,12.122585,13.022426,11.277162,47.319381,3.943282,0.391853
870," WestRockPackaging Syst.UK,LTD ", Molson Coors EUR , MOLSON COORS BREWING , United Kingdom        , CP ,  2x2 , 330   , B13B022A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100.0,39.37,100.0,39.37,Y,68.5,8,,Bristol,0.130353,0.137802,0.125565,0.137802,0.130353,0.169193,0.159084,0.161744,0.148975,0.137802,0.134609,0.134609,0.393719,0.437348,0.469803,0.407021,1.707891,0.142324,0.014052
872," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , TENNENT CALEDONIAN BREWERIES , United Kingdom        , CP ,  2x5 , 250   , B13B065A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800935,Std Sku,3800935,Yes,380,20,935,935,93.5,36.81,93.5,36.81,Y,102.0,6,,Bristol,1.207435,1.277807,1.164471,1.277807,1.210398,1.571147,1.476330,1.503738,1.380773,1.280770,1.248918,1.246695,3.649714,4.059353,4.360842,3.776384,15.846292,1.320524,0.131205
873," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , TENNENT CALEDONIAN BREWERIES , United Kingdom        , CP ,  2x4 , 250   , B13B066A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100.0,39.37,100.0,39.37,Y,102.0,8,,Bristol,1.587678,1.679579,1.530636,1.680372,1.591639,2.065407,1.941023,1.976675,1.815055,1.683541,1.641551,1.639174,4.797893,5.337418,5.732753,4.964266,20.832329,1.736027,0.172431
874," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , TENNENT CALEDONIAN BREWERIES , United Kingdom        , CP ,  2x2 , 300   , B16C007A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800965,Std Sku,3800965,Yes,380,20,965,965,96.5,37.99,96.5,37.99,Y,67.5,8,,Bristol,0.148239,0.156840,0.143180,0.156840,0.148745,0.193268,0.181631,0.184667,0.169489,0.157346,0.153299,0.153299,0.448259,0.498853,0.535786,0.463943,1.946842,0.162237,0.016175
876," WestRockPackaging Syst.UK,LTD ", BLISTERS UK , BLISTERS LTD , United Kingdom        , BL ,  2x2 , 275   , B16SD045A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801401,Std Sku,3801400,No,380,20,1401,1400,140.0,55.12,70.0,27.56,N,97.0,4,,Bristol,0.537941,0.569057,0.518427,0.569057,0.538996,0.699850,0.657659,0.669789,0.614940,0.570639,0.555872,0.555345,1.625425,1.807903,1.942388,1.681856,7.057572,0.588131,0.058499
880," WestRockPackaging Syst.UK,LTD ", BRITVIC SOFT DRINKS , BRITVIC - SOLIHULL , United Kingdom        , CP ,  2x2 , 200   , B09SD056A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200730,Std Sku,3200730,Yes,320,16,730,730,73.0,28.74,73.0,28.74,Y,96.0,12,,Bristol,0.895215,0.947012,0.863128,0.947470,0.897507,1.164742,1.094610,1.114778,1.023561,0.949762,0.925926,0.924551,2.705354,3.009718,3.232949,2.800239,11.748261,0.979022,0.097248
884," WestRockPackaging Syst.UK,LTD ", BRITVIC SOFT DRINKS , BRITVIC - SOLIHULL , United Kingdom        , CP ,  2x4 , 200   , B11SD059B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3201182,Fastrunner,3201182,Yes,320,16,1182,1182,118.2,46.54,118.2,46.54,Y,85.5,10,,Bristol,46.463081,49.163347,44.806565,49.175245,46.584709,60.462158,56.817295,57.863689,53.132771,49.288941,48.054817,47.987393,140.432993,156.222112,167.813755,145.331150,609.800009,50.816667,5.049273
888," WestRockPackaging Syst.UK,LTD ", BRITVIC SOFT DRINKS , BRITVIC - SOLIHULL , United Kingdom        , CP ,  2x2 , 200   , B11SD061B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3201182,Fastrunner,3201182,Yes,320,16,1182,1182,118.2,46.54,118.2,46.54,Y,85.5,20,,Bristol,32.266359,34.141011,31.115523,34.149604,32.350308,41.987977,39.456932,40.183393,36.898125,34.228927,33.371584,33.324652,97.522894,108.487890,116.538450,100.925162,423.474395,35.289533,3.506585
