, Sales Org , European Customer , Sold to Customer , Ship To Country , Type , confi , size , Die Reference , Board Type , Board Item , WRK Filter , Grade , Certification , x , new Cal + width,Category,old Cal + width,Unchanged?,GSM,Caliper,new std width mm,std width mm,std width, Std Width Round (in) , optimum width , optimum width (in) , optimum std? ,repeat,NB ON, x ,producer 2019,Forecast Quantity board MT - OCT 2018,Forecast Quantity board MT - NOV 2018,Forecast Quantity board MT - DEC 2018,Forecast Quantity board MT - JAN 2019,Forecast Quantity board MT - FEB 2019,Forecast Quantity board MT - MAR 2019,Forecast Quantity board MT - APR 2019,Forecast Quantity board MT - MAY 2019,Forecast Quantity board MT - JUN 2019,Forecast Quantity board MT - JUL 2019,Forecast Quantity board MT - AUG 2019,Forecast Quantity board MT - SEP 2019,Forecast Quantity board MT - Q1 2019,Forecast Quantity board MT - Q2 2019,Forecast Quantity board MT - Q3 2019,Forecast Quantity board MT - Q4 2019,Forecast Quantity board MT - FY 2019,Average,Standarddeviation
1002," WestRockPackaging Syst.UK,LTD ", SKINNY BRANDS LTD , SKINNY BRANDS LTD , United Kingdom        , CP ,  2x2 , 330   , B13B022A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100.0,39.37,100.0,39.37,Y,68.5,8,,Bristol,0.260174,0.275072,0.250597,0.275072,0.260706,0.338386,0.317636,0.323488,0.297418,0.275604,0.268687,0.268687,0.785843,0.874163,0.938542,0.812977,3.411525,0.284294,0.028208
1006," WestRockPackaging Syst.UK,LTD ", BRITVIC SOFT DRINKS , BRITVIC IRELAND LTD , Ireland             , CP ,  2x2 , 275   , B17SD046X/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800940,Std Sku,3800940,Yes,380,20,940,940,94.0,37.01,94.0,37.01,Y,65.0,8,,Bristol,1.390033,1.470711,1.340677,1.471185,1.393829,1.809083,1.699931,1.731253,1.589829,1.474507,1.437965,1.435592,4.201421,4.674098,5.021013,4.348065,18.244597,1.520383,0.151102
1007," WestRockPackaging Syst.UK,LTD ", BRITVIC SOFT DRINKS , BRITVIC IRELAND LTD , Ireland             , CP ,  2x3 , 275   , B17SD051X/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800880,Std Sku,3800880,Yes,380,20,880,880,88.0,34.65,88.0,34.65,Y,65.0,5,,Bristol,2.081914,2.203204,2.007719,2.203648,2.087690,2.709243,2.546191,2.592840,2.380917,2.208535,2.153444,2.150334,6.292836,7.000580,7.519948,6.512313,27.325678,2.277140,0.226251
1008," WestRockPackaging Syst.UK,LTD ", BRITVIC SOFT DRINKS , BRITVIC IRELAND LTD , Ireland             , CP ,  2x2 , 200   , B17SD047X/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801330,Std Sku,3801330,Yes,380,20,1330,1330,133.0,52.36,66.5,26.18,N,96.0,12,,Bristol,0.484453,0.512221,0.467098,0.512717,0.485445,0.630236,0.592055,0.602963,0.553873,0.513709,0.500817,0.500321,1.463773,1.628398,1.748891,1.514846,6.355908,0.529659,0.052587
1009," WestRockPackaging Syst.UK,LTD ", CARLOW BREWING UK , CARLOW BREWING , Ireland             , BW ,  2x2 , 330   , B12SD019B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801401,Std Sku,3801400,No,380,20,1401,1400,140.0,55.12,140.0,55.12,Y,71.0,5,,Bristol,0.252464,0.267133,0.243199,0.267133,0.252464,0.328125,0.308052,0.314228,0.287978,0.267133,0.260956,0.260184,0.762795,0.847722,0.910258,0.788273,3.309048,0.275754,0.027377
1010," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , BULMERS LIMITED , Ireland             , CP ,  2x2 , 330   , B05C019B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3501020,Fastrunner,3501000,No,350,18,1020,1000,100.0,39.37,100.0,39.37,Y,135.5,16,,Bristol,1.613027,1.706086,1.554865,1.707055,1.616904,2.098680,1.971692,2.008528,1.843736,1.710933,1.667311,1.665373,4.873977,5.422639,5.823957,5.043617,21.164190,1.763682,0.175280
1011," WestRockPackaging Syst.UK,LTD ", Bulmers Europe , BULMERS LIMITED , Ireland             , CP ,  2x3 , 330   , B05C020B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500933,Std Sku,3500930,No,350,18,933,930,930.0,366.14,93.0,36.61,N,136.0,10,,Bristol,30.981650,32.782278,29.877748,32.791326,31.063086,40.319578,37.885564,38.582289,35.433453,32.863713,32.040311,32.004117,93.641676,104.173990,111.901306,96.908141,406.625113,33.885426,3.367181
1012," WestRockPackaging Syst.UK,LTD ", BATCHELORS UK , BATCHELORS IRELAND , Ireland             , CP ,  1x2 , 420   , B06F019A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800914,Std Sku,3800900,No,380,20,914,900,90.0,35.43,90.0,35.43,Y,81.0,12,,Bristol,1.415006,1.497109,1.364612,1.497675,1.418970,1.841376,1.730395,1.762104,1.618282,1.501073,1.463702,1.461437,4.276727,4.758021,5.110782,4.426211,18.571741,1.547645,0.153744
1013," WestRockPackaging Syst.UK,LTD ", BATCHELORS UK , BATCHELORS IRELAND , Ireland             , CP ,  1x3 , 420   , B06F020A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801401,Std Sku,3801400,No,380,20,1401,1400,140.0,55.12,70.0,27.56,N,80.0,6,,Bristol,0.751181,0.795113,0.724649,0.795113,0.753356,0.977797,0.918642,0.935606,0.859052,0.796853,0.776844,0.775974,2.270943,2.526266,2.713300,2.349671,9.860181,0.821682,0.081648
1014," WestRockPackaging Syst.UK,LTD ", BATCHELORS UK , BATCHELORS IRELAND , Ireland             , CP ,  2x2 , 420   , B06F021B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800935,Std Sku,3800935,Yes,380,20,935,935,93.5,36.81,93.5,36.81,Y,107.5,12,,Bristol,2.581777,2.731672,2.489655,2.732452,2.588023,3.359355,3.157154,3.214925,2.951829,2.738698,2.669996,2.666093,7.803103,8.679830,9.323908,8.074787,33.881629,2.823469,0.280541
1016," WestRockPackaging Syst.UK,LTD ", BATCHELORS UK , BATCHELORS IRELAND , Ireland             , CP ,  2x2 , 225   , B07F016B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801401,Std Sku,3801400,No,380,20,1401,1400,140.0,55.12,70.0,27.56,N,89.0,10,,Bristol,0.210495,0.222592,0.203237,0.222592,0.210979,0.273885,0.257433,0.262272,0.240497,0.223076,0.217753,0.217270,0.636324,0.707457,0.760201,0.658099,2.762082,0.230173,0.022879
1017," WestRockPackaging Syst.UK,LTD ", BATCHELORS UK , BATCHELORS IRELAND , Ireland             , CP ,  1x3 , 225   , B12F002A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200845,Std Sku,3200830,No,320,16,845,830,83.0,32.68,83.0,32.68,Y,123.0,16,,Bristol,3.193182,3.378149,3.078997,3.379484,3.201195,4.154742,3.904336,3.976453,3.651258,3.386829,3.302025,3.298019,9.650327,10.735421,11.532047,9.986873,41.904668,3.492056,0.346953
1020," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  2x3 , 568   , B08B101A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,4150935,Std Sku,4150935,Yes,415,22,935,935,93.5,36.81,93.5,36.81,Y,70.0,2,,Bristol,0.566290,0.599046,0.545748,0.599046,0.567400,0.736732,0.692317,0.705086,0.647347,0.600711,0.585166,0.584611,1.711084,1.903178,2.044751,1.770489,7.429501,0.619125,0.061582
1022," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , CP ,  2x3 , 275   , B09B176D/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3800935,Std Sku,3800935,Yes,380,20,935,935,93.5,36.81,93.5,36.81,Y,122.0,10,,Bristol,1.038397,1.098646,1.001185,1.098646,1.041055,1.351157,1.269644,1.292681,1.187246,1.101304,1.073837,1.072065,3.138228,3.490858,3.749571,3.247207,13.625863,1.135489,0.112810
1024," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  3x4 , 440   , B10B009A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801270,Fastrunner,3801330,No,380,20,1270,1270,127.0,50.00,133.0,52.36,N,74.5,3,,Bristol,104.571938,110.649572,100.843932,110.677278,104.845920,136.079894,127.876589,130.231605,119.583239,110.932789,108.154486,108.003642,316.065441,351.603092,377.691434,327.090917,1372.450884,114.370907,11.364361
1026," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  2x5 , 440   , B10B013A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801015,Fastrunner,3801010,No,380,20,1015,1015,101.5,39.96,101.0,39.76,N,130.0,4,,Bristol,145.499625,153.955064,140.311733,153.993818,145.881043,189.339202,177.925227,181.201952,166.385813,154.349739,150.484571,150.273465,439.766422,489.214063,525.512992,455.107776,1909.601253,159.133438,15.812297
1027," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , FM ,  2x5 , 500   , B10B014A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801085,Std Sku,3801085,Yes,380,20,1085,1085,108.5,42.72,108.5,42.72,Y,65.0,2,,Bristol,22.329229,23.626924,21.533302,23.632949,22.387841,29.057085,27.305826,27.808690,25.534848,23.687728,23.094480,23.062161,67.489454,75.077875,80.649364,69.844368,293.061061,24.421755,2.426670
1028," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  3x6 , 440   , B10B038B/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801143,Fastrunner,3801168,No,380,20,1143,1143,114.3,45.00,116.8,45.98,N,74.0,2,,Bristol,191.557952,202.690694,184.728465,202.741716,192.060110,249.275276,234.248793,238.562789,219.056490,203.210307,198.120919,197.843658,578.977111,644.077102,691.868071,599.174885,2514.097169,209.508097,20.817819
1029," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  3x6 , 500   , B10B039B/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801230,Normal,3801230,Yes,380,20,1230,1230,123.0,48.43,123.0,48.43,Y,77.5,2,,Bristol,24.145456,25.548530,23.284361,25.554453,24.208391,31.419968,29.526004,30.070204,27.611308,25.613686,24.972492,24.937693,72.978348,81.182813,87.207516,75.523872,316.892548,26.407712,2.623956
1030," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  2x4 , 440   , B10B040A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3800914,Std Sku,3800900,No,380,20,914,900,90.0,35.43,90.0,35.43,Y,61.5,2,,Bristol,4.381259,4.635768,4.225200,4.637058,4.392867,5.701526,5.357595,5.456475,5.010224,4.647806,4.531299,4.525280,13.242227,14.731451,15.824294,13.704385,57.502357,4.791863,0.476147
1031," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  2x4 , 500   , B10B041A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3800950,Fastrunner,3800950,Yes,380,20,950,950,95.0,37.40,95.0,37.40,Y,65.0,2,,Bristol,7.332021,7.757928,7.070626,7.759846,7.351206,9.540693,8.965623,9.130614,8.384318,7.777593,7.582865,7.572313,22.160575,24.651745,26.480554,22.932771,96.225645,8.018804,0.796665
1033," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , DD ,  2x5 , 500   , B10B054A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801085,Std Sku,3801085,Yes,380,20,1085,1085,108.5,42.72,108.5,42.72,Y,65.0,2,,Bristol,0.558737,0.591057,0.538469,0.591057,0.559833,0.726906,0.683084,0.695683,0.638714,0.592700,0.577362,0.576814,1.688263,1.877796,2.017480,1.746876,7.330416,0.610868,0.060760
1039," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , BW ,  2x3 , 330   , B15B010A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3501390,Normal,3501390,Yes,350,18,1390,1390,139.0,54.72,139.0,54.72,Y,92.5,6,,Bristol,3.124647,3.306773,3.013349,3.307693,3.132926,4.066549,3.820955,3.891782,3.573522,3.315051,3.232267,3.227668,9.444769,10.507167,11.286259,9.774986,41.013182,3.417765,0.339595
1041," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , CP ,  2x3 , 300   , B15B027A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3800914,Std Sku,3800900,No,380,20,914,900,90.0,35.43,90.0,35.43,Y,130.0,10,,Bristol,1.242278,1.314979,1.198658,1.314979,1.245913,1.616688,1.519451,1.547622,1.420396,1.317705,1.284990,1.283173,3.755915,4.177581,4.487469,3.885868,16.306833,1.358903,0.134983
1042," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , CP ,  2x2 , 300   , B15B028A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100.0,39.37,100.0,39.37,Y,130.5,16,,Bristol,1.237630,1.309597,1.193030,1.309597,1.240670,1.609628,1.513334,1.540702,1.415013,1.312637,1.280202,1.278174,3.740256,4.159895,4.469049,3.871013,16.240213,1.353351,0.134318
1046," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , BM ,  2x3 , 330   , B16B001B/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3200964,Std Sku,3200960,No,320,16,964,960,96.0,37.80,94.6,37.24,N,108.7,4,,Bristol,0.696196,0.736467,0.670942,0.736467,0.697562,0.905738,0.851134,0.866833,0.795848,0.738514,0.719403,0.718720,2.103605,2.339766,2.513815,2.176638,9.133825,0.761152,0.075709
1047," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , BW ,  2x3 , 330   , B16B002A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3501272,Fastrunner,3501270,No,350,18,1272,1270,127.0,50.00,125.0,49.21,N,90.5,5,,Bristol,16.758997,17.732535,16.161225,17.737469,16.802576,21.808404,20.493634,20.871045,19.164886,17.778581,17.332924,17.309079,50.652758,56.348449,60.529565,52.420585,219.951357,18.329280,1.821282
1048," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , FM ,  2x5 , 330   , B16B048A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,4151000,Std Sku,4151000,Yes,415,22,1000,1000,100.0,39.37,100.0,39.37,Y,104.0,4,,Bristol,5.394594,5.707772,5.202277,5.709536,5.408709,7.019589,6.597020,6.717880,6.169157,5.722769,5.578972,5.571915,16.304643,18.137835,19.484057,16.873656,70.800191,5.900016,0.586178
1049," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , CP ,  2x2 , 330   , B17B019A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801000,Fastrunner,3801000,Yes,380,20,1000,1000,100.0,39.37,100.0,39.37,Y,129.5,16,,Bristol,2.455286,2.598117,2.367777,2.599123,2.461321,3.194587,3.002469,3.057791,2.807334,2.605158,2.539777,2.535754,7.421179,8.255031,8.867595,7.680689,32.224493,2.685374,0.266714
1050," WestRockPackaging Syst.UK,LTD ", HEINEKEN Europe , HEINEKEN GLOBAL PROCUREMENT BV , United Kingdom , FM ,  2x5 , 440   , B17B029A/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,4151010,Std Sku,4151010,Yes,415,22,1010,1010,101.0,39.76,101.0,39.76,Y,130.0,4,,Bristol,56.750801,60.048660,54.727089,60.064253,56.898932,73.849327,69.397607,70.676210,64.896881,60.202360,58.695436,58.613017,171.526551,190.812512,204.970698,177.510812,744.820574,62.068381,6.167303
1053," WestRockPackaging Syst.NL,B.V. ", Carlsberg Europe , CARLSBERG IMPORTERS SA/NV , France , CC , 2x2 , 250   , A-6747/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,4000925,Std Sku,4000850,No,400,21,925,850,85.0,33.46,84.6,33.31,N,100.9,21,,Trier,0.408808,0.432649,0.394083,0.432649,0.409509,0.531521,0.499966,0.509082,0.467009,0.433351,0.422832,0.422131,1.235540,1.373679,1.476057,1.278314,5.363591,0.446966,0.044383
1055, WestRock Czech , HEINEKEN Europe , Heineken/Krusovice/CR - C3 , Czech Republic , CP ,  2x2 , 330   , 3530/R , 01A Carrier Kote PEFC , 01A , MCB , Carrier , PEFC ,,3801035,Exception,3801020,No,380,20,1035,1020,102.0,40.16,102.0,40.16,Y,132.2,16,,Svitavy,1.026413,1.086113,0.989755,1.086113,1.029555,1.335384,1.254738,1.277780,1.174091,1.089255,1.062023,1.059929,3.102281,3.451052,3.706608,3.211207,13.471148,1.122596,0.111355
1056, WestRock Czech , Schreiber Foods , Schreiber/Benesov/CR - C3 , Czech Republic          , CC ,  2x2 , 100   , PL1607218_E/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3501365,Fastrunner,3501365,Yes,350,18,1365,1365,136.5,53.74,132.0,51.97,N,98.7,39,,Svitavy,0.022168,0.023132,0.021204,0.023132,0.022168,0.027951,0.026023,0.026987,0.025059,0.023132,0.022168,0.022168,0.066504,0.073251,0.078070,0.067468,0.285293,0.023774,0.002188
1058, WestRock Czech , Scquadrant Amroq/Bucharest/RO - C3 , Scquadrant Amroq/Bucharest/RO - C3 , Romania            , CP ,  2x3 , 250   , P1504052B/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500984,No,350,18,988,984,98.4,38.74,97.3,38.31,N,109.0,12,,Svitavy,2.015722,2.132353,1.943595,2.133120,2.020326,2.622664,2.464598,2.509869,2.304998,2.137724,2.084780,2.081710,6.091670,6.776110,7.279465,6.304214,26.451458,2.204288,0.219018
1059, WestRock Czech , Scquadrant Amroq/Bucharest/RO - C3 , Scquadrant Amroq/Bucharest/RO - C3 , Romania            , CP ,  2x2 , 250   , PL1506029/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3500988,Std Sku,3500984,No,350,18,988,984,98.4,38.74,97.3,38.31,N,109.0,18,,Svitavy,1.266061,1.339722,1.221557,1.340490,1.269897,1.647413,1.548430,1.576821,1.447913,1.343559,1.309797,1.307495,3.827339,4.257800,4.573164,3.960851,16.619155,1.384930,0.137459
1060, WestRock Czech , Schreiber Foods , Schreiber Foods/Sofia/BG - C3 , Bulgaria                  , CP ,  1x2 , 200   , 0777030A09CUK/R , 01B Custom Kote PEFC , 01B , MCB , Custom , PEFC ,,2901339,Fastrunner,2901339,Yes,290,14,1339,1339,133.9,52.72,131.4,51.73,N,91.3,21,,Svitavy,3.544279,3.750081,3.418189,3.751530,3.553700,4.612418,4.334151,4.413863,4.052986,3.759501,3.666021,3.660224,10.712549,11.917647,12.801000,11.085745,46.516941,3.876412,0.385169
1061, WestRock Czech , Schreiber Foods , Schreiber Foods/Sofia/BG - C3 , Bulgaria                  , CP ,  1x3 , 200   , 0777030A10CUK/R , 01B Custom Kote PEFC , 01B , MCB , Custom , PEFC ,,2901405,Std Sku,2901405,Yes,290,14,1405,1405,140.5,55.31,139.7,55.00,N,91.3,15,,Svitavy,0.950465,1.005972,0.917008,1.005972,0.952746,1.237125,1.162608,1.183899,1.086571,1.008253,0.983161,0.981640,2.873445,3.195843,3.433079,2.973054,12.475420,1.039618,0.103345
1067, WestRock Czech ," Savencia Fromage & Dairy CZ, a.s. ", Savencia Fromage&Dai/Praha/CZ , Czech Republic          , YP ,  2x2 , 80   , 0967056C02/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200905,Std Sku,3200902,No,320,16,905,902,90.2,35.51,89.6,35.28,N,124.6,28,,Svitavy,0.205097,0.217594,0.197746,0.217594,0.205832,0.266847,0.251409,0.255820,0.234502,0.217594,0.212448,0.212448,0.620437,0.690273,0.741731,0.642491,2.694933,0.224578,0.022305
1069, WestRock Czech , Friesland Campinarom , Friesland Campinarom/Cluj-Napoca/RO , Romania            , CP ,  2x2 , 140   , PL1701006/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200905,Std Sku,3200902,No,320,16,905,902,90.2,35.51,90.2,35.51,Y,136.2,18,,Svitavy,0.462043,0.489364,0.445972,0.489364,0.463650,0.601861,0.565701,0.575344,0.528738,0.490167,0.478114,0.477310,1.397379,1.554875,1.669783,1.445592,6.067629,0.505636,0.050283
1070, WestRock Czech , Friesland Campinarom , Friesland Campinarom/Cluj-Napoca/RO , Romania            , CP ,  2x4 , 140   , PL1701007/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3800940,Std Sku,3800940,Yes,380,20,940,940,94.0,37.01,89.3,35.16,N,136.2,9,,Svitavy,2.093252,2.214571,2.018671,2.215566,2.098224,2.723714,2.559635,2.606372,2.393567,2.220538,2.164850,2.161867,6.326494,7.037504,7.559574,6.547255,27.470827,2.289236,0.227409
1072, WestRock Czech , United Romanian Breweries/Ilfov/RO - C1 , United Romanian Breweries/Ilfov/RO - C1 , Romania            , CP ,  2x3 , 330   , C8854A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801270,Fastrunner,3801264,No,380,20,1270,1264,126.4,49.76,126.4,49.76,Y,68.8,6,,Svitavy,1.450889,1.535322,1.399554,1.535997,1.454942,1.887912,1.774435,1.806857,1.659607,1.539375,1.500873,1.498847,4.385765,4.878852,5.240899,4.539095,19.044611,1.587051,0.157572
1073, WestRock Czech , United Romanian Breweries/Ilfov/RO - C1 , United Romanian Breweries/Ilfov/RO - C1 , Romania            , CP ,  2x3 , 330   , C8856A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3801270,Fastrunner,3801264,No,380,20,1270,1264,126.4,49.76,126.4,49.76,Y,67.6,6,,Svitavy,7.313082,7.737837,7.052256,7.739828,7.332329,9.516497,8.943078,9.107671,8.363023,7.757747,7.563953,7.553334,22.103175,24.588654,26.413772,22.875034,95.980634,7.998386,0.794782
1074, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , FE ,  1x5 , 500   , P1703055C/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4301079,Std Sku,4301079,Yes,430,23,1079,1079,107.9,42.48,109.1,42.95,N,80.9,2,,Svitavy,2.534124,2.681430,2.443592,2.682197,2.541029,3.297507,3.098797,3.155571,2.897786,2.688335,2.620820,2.616984,7.659147,8.520734,9.152155,7.926139,33.258174,2.771514,0.275324
1075, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , FE ,  1x5 , 330   , P1708020A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4650960,Std Sku,4650945,No,465,25,960,945,94.5,37.20,94.5,37.20,Y,132.4,4,,Svitavy,2.091797,2.213095,2.016877,2.214284,2.097743,2.722071,2.557962,2.605530,2.391474,2.219041,2.163149,2.160770,6.321769,7.034098,7.554966,6.542959,27.453791,2.287816,0.227357
1076, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , IN ,  1x5 , 330   , P1708021A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200955,Fastrunner,3200955,Yes,320,16,955,955,95.5,37.60,93.4,36.77,N,125.4,24,,Svitavy,0.220892,0.233425,0.213059,0.233425,0.221676,0.287474,0.270241,0.274941,0.252225,0.234209,0.228726,0.227942,0.667377,0.742575,0.797406,0.690876,2.898234,0.241520,0.023989
1077, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , FE ,  1x5 , 330   , P1708022A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4300960,Std Sku,4300960,Yes,430,23,960,960,96.0,37.80,94.9,37.36,N,138.9,4,,Svitavy,2.229119,2.359210,2.149424,2.359210,2.234979,2.900668,2.726042,2.776437,2.549072,2.365070,2.305299,2.301783,6.737754,7.494857,8.051551,6.972151,29.256314,2.438026,0.242324
1078, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , IN ,  1x5 , 330   , P1708023A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,3200955,Fastrunner,3200927,No,320,16,955,927,92.7,36.50,91.8,36.14,N,129.0,24,,Svitavy,0.251858,0.266719,0.242472,0.266719,0.252640,0.327729,0.307392,0.313650,0.287838,0.266719,0.260462,0.259680,0.761050,0.847088,0.908880,0.786861,3.303880,0.275323,0.027357
1079, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , CP ,  2x3 , 330   , P1708024A.465/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4650960,Std Sku,4650945,No,465,25,960,945,94.5,37.20,93.7,36.89,N,109.0,10,,Svitavy,0.888951,0.940839,0.857623,0.940839,0.891888,1.157203,1.087693,1.107273,1.017203,0.943777,0.920280,0.918322,2.687414,2.989931,3.212169,2.782379,11.671892,0.972658,0.096631
1080, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , CP ,  2x3 , 330   , P1708024A/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4300960,Std Sku,4300960,Yes,430,23,960,960,96.0,37.80,93.7,36.89,N,109.0,10,,Svitavy,2.680011,2.835441,2.584362,2.836361,2.686449,3.486590,3.276898,3.336678,3.064447,2.842799,2.771062,2.767383,8.099815,9.009400,9.678023,8.381243,35.168480,2.930707,0.291061
1081, WestRock Czech , Ursus Breweries/Bucharest/RO , Ursus Breweries/Bucharest/RO - C1 , Romania            , CP ,  2x4 , 330   , P1708025A.465/R , 011 Carrier Kote SFI , 011 , MCB , Carrier , SFI ,,4650960,Std Sku,4650945,No,465,25,960,945,94.5,37.20,94.3,37.13,N,107.3,6,,Svitavy,0.960861,1.016759,0.927130,1.016759,0.963752,1.249987,1.174814,1.196980,1.098677,1.019650,0.993629,0.992665,2.904749,3.230497,3.470472,3.005943,12.611661,1.050972,0.104278
