,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,796 MT","7,191 MT","6,554 MT","7,193 MT","6,814 MT","8,844 MT","8,311 MT","8,464 MT","7,772 MT","7,210 MT","7,029 MT","7,020 MT","20,542 MT","22,852 MT","24,547 MT","21,259 MT","89,200 MT",,
,,,,,,,,,, <<<---Added--->>> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Sales Org , European Customer , Sold to Customer , Ship To Country , Type , confi , size , Die Reference , Board Type , Board Item , WRK Filter , Grade , Certification , x , new Cal + width,Category,old Cal + width,Unchanged?,GSM,Caliper,new std width mm,std width mm,std width, Std Width Round (in) , optimum width , optimum width (in) , optimum std? ,repeat,NB ON, x ,producer 2019, Forecast Quantity board MT - OCT 2018 , Forecast Quantity board MT - NOV 2018 , Forecast Quantity board MT - DEC 2018 , Forecast Quantity board MT - JAN 2019 , Forecast Quantity board MT - FEB 2019 , Forecast Quantity board MT - MAR 2019 , Forecast Quantity board MT - APR 2019 , Forecast Quantity board MT - MAY 2019 , Forecast Quantity board MT - JUN 2019 , Forecast Quantity board MT - JUL 2019 , Forecast Quantity board MT - AUG 2019 , Forecast Quantity board MT - SEP 2019 , Forecast Quantity board MT - Q1 2019 , Forecast Quantity board MT - Q2 2019 , Forecast Quantity board MT - Q3 2019 , Forecast Quantity board MT - Q4 2019 , Forecast Quantity board MT - FY 2019 , Average ,Standarddeviation
352," WestRockPackaging Syst.ES,S.L. ", DAMM Europe , S.A. DAMM , Spain , FM ,  2x5 ,330, K059BBA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3500988,Std Sku,3500988,Yes,350,18,988,988,98.8,38.9,94.8,37.32,N,104.2,4,,Bilbao,3.0 MT,3.2 MT,2.9 MT,3.2 MT,3.0 MT,3.9 MT,3.7 MT,3.7 MT,3.4 MT,3.2 MT,3.1 MT,3.1 MT,9.1 MT,10.1 MT,10.8 MT,9.4 MT,39.4 MT,3.3 MT,0.3 MT
364," WestRockPackaging Syst.ES,S.L. ", DANONE  Europe , DANONE  Europe , Spain , CP ,,, U147DGA-Q/R , 010 Custom Kote SFI ,10, MCB , Custom , SFI ,,2901230,Normal,2901230,Yes,290,14,1230,1230,123,48.43,123,48.43,Y,80.1,28,,Bilbao,2.7 MT,2.8 MT,2.6 MT,2.8 MT,2.7 MT,3.5 MT,3.3 MT,3.3 MT,3.1 MT,2.9 MT,2.8 MT,2.8 MT,8.1 MT,9.0 MT,9.7 MT,8.4 MT,35.3 MT,2.9 MT,0.3 MT
369," WestRockPackaging Syst.ES,S.L. ", DANONE  Europe , DANONE  Europe , Spain , CP ,,, V051AGA-QR/R , 010 Custom Kote SFI ,10, MCB , Custom , SFI ,,2900935,Std Sku,2900934,No,290,14,935,934,93.4,36.77,93.3,36.73,N,118.3,21,,Bilbao,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.3 MT,0.3 MT,0.3 MT,0.3 MT,0.2 MT,0.2 MT,0.2 MT,0.7 MT,0.8 MT,0.8 MT,0.7 MT,3.0 MT,0.3 MT,0.0 MT
402," WestRockPackaging Syst.ES,S.L. ", La Espa–ola Alimentaria Alcoy EUR , LA ESPA„OLA - PRINCIPAL , Spain , CP ,  1x2 ,200, 2792BGA/R , 010 Custom Kote SFI ,10, MCB , Custom , SFI ,,2900910,Fastrunner,2900908,No,290,14,910,908,90.8,35.75,88.8,34.96,N,127.6,28,,Bilbao,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.3 MT,0.3 MT,0.3 MT,0.2 MT,0.2 MT,0.2 MT,0.2 MT,0.6 MT,0.7 MT,0.7 MT,0.6 MT,2.7 MT,0.2 MT,0.0 MT
403," WestRockPackaging Syst.ES,S.L. ", La Espa–ola Alimentaria Alcoy EUR , LA ESPA„OLA - PRINCIPAL , Spain , CP ,  1x3 ,120, 2782BGA/R , 010 Custom Kote SFI ,10, MCB , Custom , SFI ,,2900977,Fastrunner,2900977,Yes,290,14,977,977,97.7,38.46,95,37.4,N,126,30,,Bilbao,8.1 MT,8.6 MT,7.8 MT,8.6 MT,8.1 MT,10.5 MT,9.9 MT,10.1 MT,9.2 MT,8.6 MT,8.4 MT,8.3 MT,24.4 MT,27.2 MT,29.2 MT,25.3 MT,106.1 MT,8.8 MT,0.9 MT
404," WestRockPackaging Syst.ES,S.L. ", La Espa–ola Alimentaria Alcoy EUR , LA ESPA„OLA - PRINCIPAL , Spain , CP ,  1x3 ,350, Q018CGA/R , 010 Custom Kote SFI ,10, MCB , Custom , SFI ,,2900977,Fastrunner,2900977,Yes,290,14,977,977,97.7,38.46,97.5,38.39,N,116.2,15,,Bilbao,14.0 MT,14.8 MT,13.5 MT,14.8 MT,14.0 MT,18.2 MT,17.1 MT,17.4 MT,16.0 MT,14.9 MT,14.5 MT,14.5 MT,42.3 MT,47.1 MT,50.6 MT,43.8 MT,183.7 MT,15.3 MT,1.5 MT
405," WestRockPackaging Syst.ES,S.L. ", La Espa–ola Alimentaria Alcoy EUR , LA ESPA„OLA - PRINCIPAL , Spain , CP ,  2x3 ,120, S132EGA/R , 010 Custom Kote SFI ,10, MCB , Custom , SFI ,,2900977,Fastrunner,2900977,Yes,290,14,977,977,97.7,38.46,97.4,38.35,N,110.4,18,,Bilbao,10.1 MT,10.7 MT,9.8 MT,10.7 MT,10.2 MT,13.2 MT,12.4 MT,12.6 MT,11.6 MT,10.8 MT,10.5 MT,10.5 MT,30.7 MT,34.1 MT,36.6 MT,31.7 MT,133.1 MT,11.1 MT,1.1 MT
406," WestRockPackaging Syst.ES,S.L. ", La Zaragozana EUR , LA ZARAGOZANA , Spain , CP ,  2x3 ,200, T037ABA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3500988,Std Sku,3500988,Yes,350,18,988,988,98.8,38.9,98.8,38.9,Y,121.2,12,,Bilbao,1.3 MT,1.4 MT,1.3 MT,1.4 MT,1.3 MT,1.7 MT,1.6 MT,1.7 MT,1.5 MT,1.4 MT,1.4 MT,1.4 MT,4.0 MT,4.5 MT,4.8 MT,4.1 MT,17.4 MT,1.5 MT,0.1 MT
407," WestRockPackaging Syst.ES,S.L. ", La Zaragozana EUR , LA ZARAGOZANA , Spain , CP ,  2x3 ,250, X001ABA/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3501786,Fastrunner,3501786,Yes,350,18,1786,1786,178.6,70.31,86.9,34.21,N,126.8,6,,Bilbao,19.2 MT,20.3 MT,18.5 MT,20.3 MT,19.3 MT,25.0 MT,23.5 MT,23.9 MT,22.0 MT,20.4 MT,19.9 MT,19.8 MT,58.1 MT,64.6 MT,69.4 MT,60.1 MT,252.1 MT,21.0 MT,2.1 MT
474," WestRockPackaging Syst.ES,S.L. ", SCHREIBER GROUP , SCHREIBER FOODS PORTUGAL SA , Portugal , CC ,  2x2 ,180, M085NBA-Q/R , 011 Carrier Kote SFI ,11, MCB , Carrier , SFI ,,3501398,Std Sku,3501398,Yes,350,18,1398,1398,139.8,55.04,69.9,27.52,N,107.2,28,,Bilbao,28.1 MT,29.8 MT,27.1 MT,29.8 MT,28.2 MT,36.6 MT,34.4 MT,35.0 MT,32.2 MT,29.9 MT,29.1 MT,29.1 MT,85.1 MT,94.6 MT,101.6 MT,88.0 MT,369.4 MT,30.8 MT,3.1 MT
